SN,Source,Region,Country,Country_ID,ISO2,ISO3,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,IU_NAME,IU_ID,LocationName,Longitude,Latitude,LocationType,Georeliability,Year_MDA1,N_MDA,Baseline_Prev,SurveyYear,Period,SurveyMonth,Passage,Method_0,Method_1,Method_2,Age_start,Age_end,Examined,Positive,Prevalence,CMFL,Vector_spp,Perc_PoolPositive,SourceOrigen,Funding,Composite_IU_ID
9608,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,Horo Guduru,16644,Hababo Guduru,18894,7th Camp (Bondi village A),37.43231,9.69382,Village,1,null,null,null,2012,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,30,1,0.033,null,,null,,APOC Trust Fund,AETH0194818894
9609,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,SNNP,1950,Dawro,3138,Tocha,19260,ABA,36.977208,7.208728,Village,1,null,null,null,null,Before 2001,,null,Mapping,Clinical,Nodule palpation,null,null,16,1,0.063,null,,null,,APOC Trust Fund,AETH0195019260
9610,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,West Wellega,3194,M/SIBU,18949,Aba Aga,35.13843,9.86815,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,0,0,null,,null,,APOC Trust Fund,AETH0194818949
9611,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,West Wellega,3194,M/SIBU,18949,Aba Bore,35.14993,9.8709,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,0,0,null,,null,,APOC Trust Fund,AETH0194818949
9612,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,West Wellega,3194,M/SIBU,18949,Aba Bore-2,35.15617,9.87153,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,1,0.029,null,,null,,APOC Trust Fund,AETH0194818949
9613,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,West Wellega,3194,M/SIBU,18949,Aba Dinsa,35.12633,9.85615,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,0,0,null,,null,,APOC Trust Fund,AETH0194818949
9614,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,E. Wellega,3146,Limu,18948,Aba Gusu,36.42,9.56328,Village,1,null,null,null,2012,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,30,10,0.333,null,,null,,APOC Trust Fund,AETH0194818948
9615,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,W. Shewa,3190,Bako Tibe,18777,Abakora 01,37.04805,9.11465,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,31,12,0.387,null,,null,,APOC Trust Fund,AETH0194818777
9616,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,W. Shewa,3190,Bako Tibe,18777,Abakora 2,37.04564,9.11623,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,26,7,0.269,null,,null,,APOC Trust Fund,AETH0194818777
9617,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,W. Shewa,3190,Bako Tibe,18777,Abakora 3,37.04245,9.11745,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,32,14,0.438,null,,null,,APOC Trust Fund,AETH0194818777
9618,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,W. Shewa,3190,Bako Tibe,18777,Abakora 5,37.04192,9.11772,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,30,12,0.4,null,,null,,APOC Trust Fund,AETH0194818777
9619,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,W. Shewa,3190,Bako Tibe,18777,Abakora 7,37.03839,9.11649,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,30,12,0.4,null,,null,,APOC Trust Fund,AETH0194818777
9620,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Benshangul-Gumuz,1944,Asosa,3131,Sherkole,18702,Abale,34.80434,10.67675,Village,1,null,null,null,2012,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,30,3,0.1,null,,null,,APOC Trust Fund,AETH0194418702
9621,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Amhara,1943,West Gojam,3193,Bahir dar Z,18547,ABAY MEND,37.5833,11.4833,Village,1,null,null,null,null,Before 2001,,null,Mapping,Clinical,Nodule palpation,null,null,50,0,0,null,,null,,APOC Trust Fund,AETH0194318547
9622,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,West Wellega,3194,M/SIBU,18949,Abba Giorgis,35.14023,9.91907,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,8,0.229,null,,null,,APOC Trust Fund,AETH0194818949
9623,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,West Wellega,3194,BEGHI,18774,Abdi 2,34.50536,9.17866,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,14,0.4,null,,null,,APOC Trust Fund,AETH0194818774
9624,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,West Wellega,3194,BEGHI,18774,Abdi 3,34.50422,9.17728,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,6,0.171,null,,null,,APOC Trust Fund,AETH0194818774
9625,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,Illu Aba bora,3155,Chora,18807,Abdi Bori,36.0464,8.39218,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,35,7,0.2,null,,null,,APOC Trust Fund,AETH0194818807
9626,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,Illu Aba bora,3155,Dega,18821,Abdi Gudina,36.17921,8.61178,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,30,8,0.267,null,,null,,APOC Trust Fund,AETH0194818821
9627,AFRO,Eastern Africa,Ethiopia,17,ET,ETH,Oromiya,1948,Illu Aba bora,3155,Mako,18952,Abdi Misoma,35.9921,8.66629,Village,1,null,null,null,2011,2011 - 2016,,null,Mapping,Clinical,Nodule palpation,null,null,32,10,0.313,null,,null,,APOC Trust Fund,AETH0194818952
