"","CASES","N","LONG","LAT","Period","ID","alt","annual_mean_temp","annual_diurnal_range","isothermality","temp_seasonality","maxtemp_warmest_mnth","mintemp_coldest_mnth","temp_annual_range","meantemp_wettestquart","mean_temp_driestquart","meantemp_warmestquarter","meantemp_coldestquart","annual_precp","prec_wettest_mnth","precp_driest_mnth","precp_seasonality","precp_wettest_quart","precp_dreist_quart","precp_warmest_quart","precp_coldest_quarter","dist_river","drain_direction","EVI_2015","Flow_accumulation","Hydro_DEM","NDVI_2015","Pop_count_2015","Population_density","Pot_evapo_trans","Soil_moisture","dist_river_DIVA","Rural_urban","Land_cover_2015","city_accessibility","mean_housing_2000_15","dist_river_WP","dist_road","slope","night_lights","wetness_index","EVI_2003_11","NDVI_2003_11","WP_popcount"
"1",1,35,33.9333,7.7667,"Before 2001",1,424,269,142,73,1238,380,187,193,255,272,288,255,1100,210,5,78,570,23,107,570,2297.43481445312,6.72473859786987,3690.02514648438,3.78796768188477,424.677764892578,6086.67919921875,3.57864356040955,1.84293150901794,41.9763641357422,9.45604801177979,3022.48999023438,0,10,263,0.0203109011054039,1.57301163673401,31.9219818115234,0.000349250331055373,0,16.8719997406006,3629.71826171875,5901.947265625,2.61005616188049
"2",3,50,34.10291,8.31013,"2011 - 2016",2,427,274,140,71,1440,387,192,195,255,281,295,255,882,182,1,83,439,8,63,439,958.467224121094,15.2770490646362,3178.3828125,1,427.326171875,5333.93115234375,21.5546226501465,11.1151103973389,13.383825302124,22.6988754272461,3477.30615234375,0,9,90,0.0211178511381149,8.28499126434326,0.277981460094452,0.000146136488183402,0,16.0435009002686,2829.55737304688,4986.005859375,27.541633605957
"3",1,38,34.1167,8.3833,"Before 2001",3,434,274,138,70,1433,388,191,197,256,280,295,256,881,179,1,83,440,9,62,440,1655.21374511719,44.4840431213379,3181.83203125,1.63187742233276,434.279907226562,5363.568359375,21.5507507324219,11.1151113510132,12.939567565918,22.6988754272461,4986.24609375,0,9,165,0.0168009344488382,10.5530233383179,7.81898212432861,0,0,15.6485004425049,3029.1474609375,5097.14453125,6.41763496398926
"4",2,40,34.1333,7.65,"Before 2001",4,440,264,146,74,1151,376,179,197,254,264,282,253,1202,246,4,77,624,31,136,510,1473.43505859375,7.00592088699341,3400.431640625,2885.92456054688,439.611511230469,6104.31396484375,7.16009426116943,3.68629360198975,45.6152877807617,19.1588096618652,2780.7578125,0,9,172,0.0205838195979595,0.854985117912292,8.4169921875,0.999853789806366,0,15.2434997558594,3672.08764648438,6140.767578125,7.37593984603882
"5",5,50,34.17625,7.6319,"2011 - 2016",5,436,264,147,74,1152,376,178,198,255,262,282,253,1227,253,4,76,637,33,143,517,225.051498413086,17.6070728302002,3812.1318359375,11054.5625,435.595428466797,6330.14453125,7.16048288345337,3.68629336357117,128.681594848633,19.1588096618652,3977.11645507812,0,10,188,0.0179868321865797,0.367986381053925,5.71501111984253,0,0,19.4764995574951,3759.28759765625,6200.43408203125,12.1202783584595
"6",3,50,34.22855,7.6143,"2011 - 2016",6,440,263,147,73,1154,376,177,199,255,261,281,254,1250,260,4,76,650,35,149,524,80.376350402832,31.3350391387939,4064.29565429688,9777.0927734375,441.300323486328,6634.81103515625,7.16074180603027,3.68629336357117,91.4448394775391,19.1588096618652,3827.86474609375,0,9,166,0.022303307428956,0.560017704963684,4.45100593566895,1.0003514289856,0,17.5354995727539,4042.16552734375,6447.8642578125,15.3695974349976
"7",1,50,34.23237,7.63843,"2011 - 2016",7,443,263,148,74,1119,375,176,199,255,261,280,253,1252,261,4,77,650,35,149,524,1721.2509765625,2.00269722938538,3811.0693359375,1,441.933074951172,6454.5068359375,7.16035461425781,3.68629312515259,65.4260406494141,19.1588096618652,3697.64331054688,0,9,163,0.0246416795998812,1.27997934818268,2.61501264572144,0.000204624666366726,0,15.0920000076294,3781.6962890625,6140.7177734375,18.3316287994385
"8",0,32,34.26812,8.19207,"2011 - 2016",8,428,274,147,73,1453,389,190,199,255,283,295,255,933,203,2,83,465,12,73,465,417.968078613281,6.2534384727478,3436.96240234375,16668.408203125,427.898376464844,5531.67333984375,20.5515480041504,11.1151094436646,33.022045135498,19.5565242767334,9650.0009765625,0,10,73,0.0344948545098305,0.370981216430664,0.331994473934174,1.99985313415527,0,15.6215000152588,2944.0068359375,4934.79931640625,212.07356262207
"9",5,30,34.268539,8.187256,"Before 2001",9,428,274,147,74,1432,388,190,198,255,282,295,255,938,204,2,82,467,13,76,467,71.6691436767578,12.0434980392456,3590.83813476562,12308.8515625,428.562042236328,5829.11181640625,16.2345142364502,11.1151103973389,43.9802780151367,19.5565242767334,10479.7548828125,0,10,76,0.0352832898497581,0.261024981737137,0.586023151874542,0.999797999858856,0,15.2395000457764,3237.37939453125,5494.7880859375,147.90087890625
"10",1,50,34.2703,8.19001,"2011 - 2016",10,428,274,147,74,1432,388,190,198,255,282,295,255,938,204,2,82,467,13,76,467,71.6691436767578,12.0434980392456,3590.83813476562,12308.8515625,428.562042236328,5829.11181640625,16.2345142364502,11.1151103973389,43.9802780151367,19.5565242767334,10479.7548828125,0,10,76,0.0352832898497581,0.261024981737137,0.586023151874542,0.999797999858856,0,15.2395000457764,3237.37939453125,5494.7880859375,147.90087890625
