LONG,LAT,CASES,N
33.9333,7.7667,1,35
34.10291,8.31013,3,50
34.1167,8.3833,1,38
34.1333,7.65,2,40
34.17625,7.6319,5,50
34.22855,7.6143,3,50
34.23237,7.63843,1,50
34.26812,8.19207,0,32
34.268539,8.187256,5,30
34.2703,8.19001,1,50
34.3167,8.2,1,36
34.35502,9.54131,7,33
34.35808,9.54578,2,35
34.37273,9.53807,1,32
34.37393,9.53827,3,33
34.39501,10.45865,18,30
34.40421,9.47298,1,35
34.40604,10.24447,1,34
34.41449,9.47327,3,35
34.44788,9.427,0,35
34.45199,9.45704,3,34
34.45512,9.44969,6,33
34.45811,9.44475,5,35
34.45998,9.44301,8,33
34.47068,9.43536,0,31
34.48661,9.40617,0,35
34.48822,9.40272,0,35
34.48908,9.41023,0,35
34.49223,9.39157,1,35
34.4932,10.55131,1,30
34.49486,9.41096,0,35
34.49708,10.17322,30,50
34.50032,9.40594,0,34
34.50057,9.40078,1,35
34.50096,9.40027,0,35
34.50108,9.39421,0,35
34.50422,9.17728,6,35
34.50536,9.17866,14,35
34.50678,9.18778,2,35
34.50774,9.17751,16,35
34.50784,9.18863,18,35
34.50847,9.17964,11,35
34.50914,9.18968,15,35
34.51035,9.19736,6,35
34.51041,9.19475,7,35
34.51067,9.98994,3,50
34.51105,9.19353,7,34
34.51111,9.18908,9,35
34.5114,9.18497,3,35
34.51237,9.18262,11,35
34.52157,10.45106,5,30
34.52509,10.14778,21,50
34.535209,9.332211,3,33
34.54673,9.46475,1,35
34.553511,10.068543,1,12
34.57211,10.06164,0,35
34.608746,8.237826,4,36
34.6167,10.3167,1,35
34.62134,10.7689,3,30
34.62476,10.77174,4,30
34.69426,9.38934,0,35
34.69914,9.38123,1,35
34.70586,9.39199,0,35
34.706099,9.708728,0,33
34.7068,9.38855,1,35
34.70926,9.39502,1,30
34.7167,9.8,1,35
34.723,9.3829,3,35
34.72661,9.35058,0,35
34.72965,9.36678,0,35
34.7297,9.35688,1,34
34.73813,9.35693,0,35
34.7402,9.35902,0,35
34.74021,9.35053,0,34
34.74241,9.36171,2,34
34.7437,9.35127,0,35
34.749938,10.359938,4,33
34.75781,10.62431,9,30
34.75799,10.62397,4,33
34.76443,9.46615,21,30
34.77074,10.29152,20,138
34.77176,10.60495,0,30
34.77519,10.29561,8,38
34.77603,10.3034,2,32
